word,count
continued,1
to,93
the,211
church,3
of,145
"latter-day-saints.
",1
we,44
continue,2
offer,1
further,4
reflections,2
bishop,1
[edward],1
partridge,1
and,176
jesus,4
christ,3
latter,2
day,2
saints,9
whom,4
love,4
with,30
a,30
fervent,1
do,7
always,4
bear,3
them,14
in,55
mind,4
all,34
our,29
prayers,1
throne,1
god.,4
it,24
still,2
seems,3
heavy,1
heavily,1
minds,2
that,70
would,4
will,12
well,3
secure,1
themselves,4
contract,1
land,2
which,18
is,43
proposed,1
by,34
mr.,1
isaac,2
galland,1
cultivate,1
friendly,1
feelings,1
gentleman,1
as,23
much,4
shall,37
he,7
prove,1
himself,2
be,50
man,5
honor,2
humanity,1
friend,1
humanity.,1
really,1
think,2
his,6
letter,1
breaths,1
kind,1
spirit,5
if,19
can,12
judge,1
correctly.1,1
van,1
allen,1
esqr.,1
attorney,1
genl.,1
iawa,1
territory,2
peradventure,3
such,6
men,13
may,9
wrought,1
upon,18
providence,1
god,18
good,2
unto,6
people.2,1
governer,1
[robert],1
lucas,1
also.,1
suggest,5
ideah,1
praying,1
fervantly,1
for,30
who,16
manifest,2
any,3
degree,2
sympathy,1
suffering,4
children,5
united,2
states,3
survayor,1
iowa,1
grate,2
benefeit,1
church3,1
this,9
end4,1
ritiousness,3
should,7
manifested,1
girdle,1
loins.5,1
deeply,1
impresed,1
ought,4
lay,2
hold,6
evry,4
door,2
seem,1
opened,1
them6,1
obtain,1
foot,1
on,8
earth,3
make,5
making,1
preparation<​s​>,1
within,1
power,4
posibles,1
terible,1
storms,1
are,39
now,5
gethering,3
heavens,3
darkness,2
gloominess,1
thick,1
spoken,1
prophets7,1
cannot,5
long,3
time,7
lingering,1
there,13
whispering,1
angels,3
heaven8,1
have,20
been,6
intrusted,1
council,4
counsel,5
these,7
matters,3
last,2
days,2
taken,2
together:,1
among,5
rest,1
general,2
affairs,1
transacted,1
their,10
honorable,1
they,27
cognisance,1
testimony,2
those,14
were,4
murdered,2
at,3
hawns,1
mills,1
also,10
martered,1
d[avid],1
w.,1
patten.,1
else,1
where,3
and9,1
passed,1
some,2
[p.,8
1],1
decisions,2
favour,1
and10,1
called,4
suffer,1
without,7
cause,1
made,3
known,2
take,2
into,7
concideration,3
things,13
offend.,1
fervant,1
desire,1
your,6
conferences,2
thing,2
discused,1
deal,1
care,2
propriety,2
lest,2
you,7
grieve,1
holy,5
spirit11,1
poured,1
out,3
times,7
heads12,1
when,7
exercised,3
principals,5
agreeable,1
properly,1
affected,1
one,5
toward,2
an,12
other,3
carefull,2
means,2
remember,2
<​who​>,2
bondage,1
heaviness,1
deep,1
